id,max_,mean_,median_,min_,std_
1,6,0.06,0,0,0.596992462
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,26,6.08,6,0,6.837660419
7,0,0,0,0,0
8,0,0,0,0,0
9,62,36.67,36,7,18.66871983
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,7,0.2,0,0,1.140175425
18,0,0,0,0,0
19,0,0,0,0,0
20,8,0.8,0,0,2.177154106
21,0,0,0,0,0
22,6,0.3,0,0,1.307669683
23,62,27.84,22.5,0,18.80144675
24,6,0.54,0,0,1.717090563
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,62,41.91,44,10,16.03315003
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,7,0.33,0,0,1.442601816
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,7,0.49,0,0,1.664301655
43,0,0,0,0,0
44,6,0.06,0,0,0.596992462
45,0,0,0,0,0
46,62,36.26,36,7,20.55705232
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,59,23.05,15.5,0,17.11220325
53,6,0.3,0,0,1.307669683
54,0,0,0,0,0
55,0,0,0,0,0
56,62,25.02,17.5,6,18.23128081
57,62,35.81,35.5,7,18.12164176
58,0,0,0,0,0
59,0,0,0,0,0
60,48,14.16,10,0,12.44565788
61,0,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,25,5.58,6,0,6.367385649
68,0,0,0,0,0
69,0,0,0,0,0
70,59,21.35,16.5,0,14.81511053
71,0,0,0,0,0
72,18,3.62,0,0,4.62337539
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,62,30.62,26,6,19.3270691
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,62,32.38,30.5,7,19.48885836
81,0,0,0,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
