cluster,latitude,longitude,cluster_wealth_mean
1,-2.532818,29.684726,-0.386619615
2,-1.833858,30.310689,-0.421573846
3,-1.888155,29.478298,-0.449724167
4,-2.366763,30.521692,-0.3900056
5,-2.171266,30.018541,-0.4169236
6,-2.036917,30.114591,-0.050272308
7,-1.768636,29.799135,-0.396406
8,-1.769425,29.967649,-0.13673
9,-1.974834,30.111135,2.5122796
10,-2.038221,30.310015,0.56751
11,-2.021018,30.651838,-0.223793077
12,-2.212707,29.921206,-0.332192
13,-2.22724,29.413435,-0.613429615
14,-1.912341,29.512758,-0.379098
15,-1.997883,29.631617,-0.4721612
16,-2.072847,30.824889,-0.538247308
17,-2.116178,29.813837,-0.368963077
18,-1.719926,29.555812,-0.344625
19,-2.193395,30.012104,-0.232990769
20,-2.372858,29.704832,-0.370496923
21,-2.191645,29.290962,-0.218035417
22,-2.267461,29.815544,-0.118801538
23,-1.984298,30.124576,3.363113636
24,-1.640578,29.322453,-0.241754615
25,-1.41364,29.73784,-0.2399152
26,-1.355377,30.414937,0.350344
27,-1.670937,29.35863,-0.5017
28,-1.64984,29.618431,-0.4350388
29,-1.957099,30.056542,2.253041538
30,-1.65317,30.391795,-0.384088846
31,-1.928112,29.606201,-0.367421538
32,-1.807319,30.195201,-0.0992648
33,-1.860849,30.288849,0.358655
34,-1.59673,29.383047,-0.524754615
35,-2.243706,30.545879,-0.3319476
36,-1.429948,30.295583,-0.313397692
37,-2.585717,29.667567,-0.179797692
38,-1.224948,30.414024,0.239966923
39,-1.407318,30.255418,-0.043097692
40,-2.644809,29.625657,-0.3666572
41,-2.154319,29.592663,-0.2434876
42,-2.119264,30.591072,0.132901154
43,-2.65403,29.490941,-0.5243328
44,-1.842713,29.96173,-0.0728724
45,-1.635746,30.134193,-0.309686923
46,-1.981685,30.091802,1.884295385
47,-2.766533,29.442456,-0.6294804
48,-1.911204,29.688088,-0.2888012
49,-1.820759,29.310801,-0.241131538
50,-1.522252,29.97244,-0.372924231
51,-1.735648,30.350218,-0.352680769
52,-1.896964,30.078518,2.2831216
53,-2.253763,29.818389,-0.487355769
54,-2.660312,29.488456,-0.555228077
55,-2.036321,30.567216,-0.101954
