X,Y,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM
29.684726,-2.532818,RW201000000001,RW,2010.000000,1.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,7.000000,Huye,GPS,R,-2.532818,29.684726,1706.000000,1702.000000,WGS84
30.310689,-1.833858,RW201000000002,RW,2010.000000,2.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,26.000000,Gatsibo,GPS,R,-1.833858,30.310689,1631.000000,1631.000000,WGS84
29.478298,-1.888155,RW201000000003,RW,2010.000000,3.000000,RW,RW14,Western,NULL,NULL,3.000000,West,16.000000,Ngororero,GPS,R,-1.888155,29.478298,2310.000000,2324.000000,WGS84
30.521692,-2.366763,RW201000000004,RW,2010.000000,4.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,28.000000,Kirehe,GPS,R,-2.366763,30.521692,1388.000000,1399.000000,WGS84
30.018541,-2.171266,RW201000000005,RW,2010.000000,5.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,30.000000,Bugesera,GPS,R,-2.171266,30.018541,1437.000000,1445.000000,WGS84
30.114591,-2.036917,RW201000000006,RW,2010.000000,6.000000,RW,RW12,Kigali City,NULL,NULL,1.000000,Kigali City,3.000000,Kicukiro,GPS,U,-2.036917,30.114591,1392.000000,1392.000000,WGS84
29.799135,-1.768636,RW201000000007,RW,2010.000000,7.000000,RW,RW13,Northern,NULL,NULL,4.000000,North,20.000000,Gakenke,GPS,R,-1.768636,29.799135,1560.000000,1549.000000,WGS84
29.967649,-1.769425,RW201000000008,RW,2010.000000,8.000000,RW,RW13,Northern,NULL,NULL,4.000000,North,19.000000,Rulindo,GPS,R,-1.769425,29.967649,1911.000000,1901.000000,WGS84
30.111135,-1.974834,RW201000000009,RW,2010.000000,9.000000,RW,RW12,Kigali City,NULL,NULL,1.000000,Kigali City,3.000000,Kicukiro,GPS,U,-1.974834,30.111135,1428.000000,1424.000000,WGS84
30.310015,-2.038221,RW201000000010,RW,2010.000000,10.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,24.000000,Rwamagana,GPS,R,-2.038221,30.310015,1475.000000,1471.000000,WGS84
30.651838,-2.021018,RW201000000011,RW,2010.000000,11.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,27.000000,Kayonza,GPS,R,-2.021018,30.651838,1666.000000,1659.000000,WGS84
29.921206,-2.212707,RW201000000012,RW,2010.000000,12.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,9.000000,Ruhango,GPS,R,-2.212707,29.921206,1479.000000,1469.000000,WGS84
29.413435,-2.22724,RW201000000013,RW,2010.000000,13.000000,RW,RW14,Western,NULL,NULL,3.000000,West,12.000000,Karongi,GPS,R,-2.227240,29.413435,1923.000000,1919.000000,WGS84
29.512758,-1.912341,RW201000000014,RW,2010.000000,14.000000,RW,RW14,Western,NULL,NULL,3.000000,West,16.000000,Ngororero,GPS,R,-1.912341,29.512758,2322.000000,2318.000000,WGS84
29.631617,-1.997883,RW201000000015,RW,2010.000000,15.000000,RW,RW14,Western,NULL,NULL,3.000000,West,16.000000,Ngororero,GPS,R,-1.997883,29.631617,1590.000000,1622.000000,WGS84
30.824889,-2.072847,RW201000000016,RW,2010.000000,16.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,28.000000,Kirehe,GPS,R,-2.072847,30.824889,1483.000000,1469.000000,WGS84
29.813837,-2.116178,RW201000000017,RW,2010.000000,17.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,9.000000,Ruhango,GPS,R,-2.116178,29.813837,1746.000000,1734.000000,WGS84
29.555812,-1.719926,RW201000000018,RW,2010.000000,18.000000,RW,RW14,Western,NULL,NULL,3.000000,West,15.000000,Nyabihu,GPS,R,-1.719926,29.555812,2203.000000,2221.000000,WGS84
30.012104,-2.193395,RW201000000019,RW,2010.000000,19.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,30.000000,Bugesera,GPS,R,-2.193395,30.012104,1379.000000,1383.000000,WGS84
29.704832,-2.372858,RW201000000020,RW,2010.000000,20.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,4.000000,Nyanza,GPS,R,-2.372858,29.704832,1681.000000,1662.000000,WGS84
29.290962,-2.191645,RW201000000021,RW,2010.000000,21.000000,RW,RW14,Western,NULL,NULL,3.000000,West,12.000000,Karongi,GPS,R,-2.191645,29.290962,1765.000000,1741.000000,WGS84
29.815544,-2.267461,RW201000000022,RW,2010.000000,22.000000,RW,RW15,Southern,NULL,NULL,2.000000,South,4.000000,Nyanza,GPS,R,-2.267461,29.815544,1586.000000,1604.000000,WGS84
30.124576,-1.984298,RW201000000023,RW,2010.000000,23.000000,RW,RW12,Kigali City,NULL,NULL,1.000000,Kigali City,3.000000,Kicukiro,GPS,U,-1.984298,30.124576,1435.000000,1429.000000,WGS84
29.322453,-1.640578,RW201000000024,RW,2010.000000,24.000000,RW,RW14,Western,NULL,NULL,3.000000,West,14.000000,Rubavu,GPS,R,-1.640578,29.322453,2102.000000,2104.000000,WGS84
29.73784,-1.41364,RW201000000025,RW,2010.000000,25.000000,RW,RW13,Northern,NULL,NULL,4.000000,North,22.000000,Burera,GPS,R,-1.413640,29.737840,2017.000000,2013.000000,WGS84
30.414937,-1.355377,RW201000000026,RW,2010.000000,26.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,25.000000,Nyagatare,GPS,R,-1.355377,30.414937,1386.000000,1390.000000,WGS84
29.35863,-1.670937,RW201000000027,RW,2010.000000,27.000000,RW,RW14,Western,NULL,NULL,3.000000,West,14.000000,Rubavu,GPS,R,-1.670937,29.358630,2081.000000,2094.000000,WGS84
29.618431,-1.64984,RW201000000028,RW,2010.000000,28.000000,RW,RW14,Western,NULL,NULL,3.000000,West,15.000000,Nyabihu,GPS,R,-1.649840,29.618431,2335.000000,2327.000000,WGS84
30.056542,-1.957099,RW201000000029,RW,2010.000000,29.000000,RW,RW12,Kigali City,NULL,NULL,1.000000,Kigali City,1.000000,Nyarugenge,GPS,U,-1.957099,30.056542,1538.000000,1526.000000,WGS84
30.391795,-1.65317,RW201000000030,RW,2010.000000,30.000000,RW,RW11,Eastern,NULL,NULL,5.000000,East,26.000000,Gatsibo,GPS,R,-1.653170,30.391795,1426.000000,1424.000000,WGS84
29.606201,-1.928112,RW201000000031,RW,2010.000000,31.000000,RW,RW14,Western,NULL,NULL,3.000000,West,16.000000,Ngororero,GPS,R,-1.928112,29.606201,1911.000000,1905.000000,WGS84
30.195201,-1.807319,RW201000000032,RW,2010.000000,32.000000,RW,RW13,Northern,NULL,NULL,4.000000,North,23.000000,Gicumbi,GPS,R,-1.807319,30.195201,1700.000000,1691.000000,WGS84
