id,max_,mean_,median_,min_,std_,wealth
1.0,6.0,0.06,0.0,0.0,0.596992462264,-0.531405
2.0,0.0,0.0,0.0,0.0,0.0,-0.40983
3.0,0.0,0.0,0.0,0.0,0.0,-0.478115
4.0,0.0,0.0,0.0,0.0,0.0,-0.43596
5.0,0.0,0.0,0.0,0.0,0.0,-0.44948
6.0,26.0,6.08,6.0,0.0,6.83766041859,-0.11265
7.0,0.0,0.0,0.0,0.0,0.0,-0.39962
8.0,0.0,0.0,0.0,0.0,0.0,-0.19558
9.0,62.0,36.67,36.0,7.0,18.6687198276,2.39554
10.0,0.0,0.0,0.0,0.0,0.0,0.05646
11.0,0.0,0.0,0.0,0.0,0.0,-0.233975
12.0,0.0,0.0,0.0,0.0,0.0,-0.45845
13.0,0.0,0.0,0.0,0.0,0.0,-0.643445
14.0,0.0,0.0,0.0,0.0,0.0,-0.50153
15.0,0.0,0.0,0.0,0.0,0.0,-0.49069
16.0,0.0,0.0,0.0,0.0,0.0,-0.54898
17.0,7.0,0.2,0.0,0.0,1.1401754251,-0.41252
18.0,0.0,0.0,0.0,0.0,0.0,-0.41903
19.0,0.0,0.0,0.0,0.0,0.0,-0.38006
20.0,8.0,0.8,0.0,0.0,2.17715410571,-0.46062
21.0,0.0,0.0,0.0,0.0,0.0,-0.266005
22.0,6.0,0.3,0.0,0.0,1.30766968306,-0.275315
23.0,62.0,27.84,22.5,0.0,18.8014467528,3.14126
24.0,6.0,0.54,0.0,0.0,1.71709056255,-0.4128
25.0,0.0,0.0,0.0,0.0,0.0,-0.39372
26.0,0.0,0.0,0.0,0.0,0.0,0.08756
27.0,0.0,0.0,0.0,0.0,0.0,-0.53943
28.0,0.0,0.0,0.0,0.0,0.0,-0.49357
29.0,62.0,41.91,44.0,10.0,16.0331500336,2.215415
30.0,0.0,0.0,0.0,0.0,0.0,-0.385275
31.0,0.0,0.0,0.0,0.0,0.0,-0.380515
32.0,0.0,0.0,0.0,0.0,0.0,-0.23178
33.0,0.0,0.0,0.0,0.0,0.0,0.19917
34.0,0.0,0.0,0.0,0.0,0.0,-0.555805
35.0,0.0,0.0,0.0,0.0,0.0,-0.38261
36.0,0.0,0.0,0.0,0.0,0.0,-0.32845
37.0,7.0,0.33,0.0,0.0,1.44260181616,-0.35604
38.0,0.0,0.0,0.0,0.0,0.0,-0.03633
39.0,0.0,0.0,0.0,0.0,0.0,-0.167385
40.0,0.0,0.0,0.0,0.0,0.0,-0.44719
41.0,0.0,0.0,0.0,0.0,0.0,-0.492
42.0,7.0,0.49,0.0,0.0,1.66430165535,-0.007955
43.0,0.0,0.0,0.0,0.0,0.0,-0.5277
44.0,6.0,0.06,0.0,0.0,0.596992462264,-0.19927
45.0,0.0,0.0,0.0,0.0,0.0,-0.373225
46.0,62.0,36.26,36.0,7.0,20.5570523179,1.860625
47.0,0.0,0.0,0.0,0.0,0.0,-0.66092
48.0,0.0,0.0,0.0,0.0,0.0,-0.34676
49.0,0.0,0.0,0.0,0.0,0.0,-0.36711
50.0,0.0,0.0,0.0,0.0,0.0,-0.39113
51.0,0.0,0.0,0.0,0.0,0.0,-0.42701
52.0,59.0,23.05,15.5,0.0,17.112203248,2.70197
53.0,6.0,0.3,0.0,0.0,1.30766968306,-0.61453
54.0,0.0,0.0,0.0,0.0,0.0,-0.58252
55.0,0.0,0.0,0.0,0.0,0.0,-0.30881
56.0,62.0,25.02,17.5,6.0,18.2312808107,2.349945
57.0,62.0,35.81,35.5,7.0,18.1216417579,1.70097
58.0,0.0,0.0,0.0,0.0,0.0,-0.27617
59.0,0.0,0.0,0.0,0.0,0.0,-0.366825
60.0,48.0,14.16,10.0,0.0,12.4456578773,2.667715
61.0,0.0,0.0,0.0,0.0,0.0,-0.07593
62.0,0.0,0.0,0.0,0.0,0.0,-0.44492
63.0,0.0,0.0,0.0,0.0,0.0,-0.31336
64.0,0.0,0.0,0.0,0.0,0.0,-0.242095
65.0,0.0,0.0,0.0,0.0,0.0,-0.179475
66.0,0.0,0.0,0.0,0.0,0.0,-0.42851
67.0,25.0,5.58,6.0,0.0,6.36738564876,-0.340905
68.0,0.0,0.0,0.0,0.0,0.0,-0.247665
69.0,0.0,0.0,0.0,0.0,0.0,-0.3745
70.0,59.0,21.35,16.5,0.0,14.8151105295,2.24541
71.0,0.0,0.0,0.0,0.0,0.0,-0.44135
72.0,18.0,3.62,0.0,0.0,4.62337539034,-0.577145
73.0,0.0,0.0,0.0,0.0,0.0,-0.40432
74.0,0.0,0.0,0.0,0.0,0.0,-0.430845
75.0,0.0,0.0,0.0,0.0,0.0,-0.424585
76.0,62.0,30.62,26.0,6.0,19.3270691001,3.1974
77.0,0.0,0.0,0.0,0.0,0.0,-0.5743
78.0,0.0,0.0,0.0,0.0,0.0,-0.54728
79.0,0.0,0.0,0.0,0.0,0.0,-0.306075
